devtype,unit,trendlog,label,TL2,chamber,varname
1,1,xxx,xxxx,xxxx,xx,xxxx
43,8011,182,C1 - Dewpoint in chamber,Trendlog 183,ch01,DP_al
1,8011,085,C1 - Humidity inside Chamber,Trendlog 86,ch01,RH_al
8,8011,095,C1 - Humidity inside Chamber SP,Trendlog 96,ch01,RH_SP
10,8011,045,C1 - Temp Inside Chamber Average Ref:5,Trendlog 46,ch01,Tair_al
7,8011,056,C1 - Temp Inside Chamber SP,Trendlog 57,ch01,Tair_SP
28,8011,135,C1 - subfloorT,Trendlog 136,ch01,Tsub_al
43,8021,183,C2 - Dewpoint in chamber,Trendlog 184,ch02,DP_al
1,8021,086,C2 - Humidity inside Chamber,Trendlog 87,ch02,RH_al
8,8021,096,C2 - Humidity inside Chamber SP,Trendlog 97,ch02,RH_SP
10,8021,046,C2 - Temp Inside Chamber Average Ref:5,Trendlog 47,ch02,Tair_al
7,8021,057,C2 - Temp Inside Chamber SP,Trendlog 58,ch02,Tair_SP
28,8021,136,C2 - subfloorT,Trendlog 137,ch02,Tsub_al
43,8031,184,C3 - Dewpoint in chamber,Trendlog 185,ch03,DP_al
1,8031,087,C3 - Humidity inside Chamber,Trendlog 88,ch03,RH_al
8,8031,097,C3 - Humidity inside Chamber SP,Trendlog 98,ch03,RH_SP
10,8031,047,C3 - Temp Inside Chamber Average Ref:5,Trendlog 48,ch03,Tair_al
7,8031,058,C3 - Temp Inside Chamber SP,Trendlog 59,ch03,Tair_SP
28,8031,137,C3 - subfloorT,Trendlog 138,ch03,Tsub_al
43,8041,185,C4 - Dewpoint in chamber,Trendlog 186,ch04,DP_al
1,8041,088,C4 - Humidity inside Chamber,Trendlog 89,ch04,RH_al
8,8041,098,C4 - Humidity inside Chamber SP,Trendlog 99,ch04,RH_SP
10,8041,048,C4 - Temp Inside Chamber Average Ref:5,Trendlog 49,ch04,Tair_al
7,8041,059,C4 - Temp Inside Chamber SP,Trendlog 60,ch04,Tair_SP
28,8041,138,C4 - subfloorT,Trendlog 139,ch04,Tsub_al
43,8051,186,C5 - Dewpoint in chamber,Trendlog 187,ch05,DP_al
1,8051,089,C5 - Humidity inside Chamber,Trendlog 90,ch05,RH_al
8,8051,099,C5 - Humidity inside Chamber SP,Trendlog 100,ch05,RH_SP
10,8051,049,C5 - Temp Inside Chamber Average Ref:5,Trendlog 50,ch05,Tair_al
7,8051,241,C5 - Temp Inside Chamber SP,Trendlog 242,ch05,Tair_SP
28,8051,139,C5 - subfloorT,Trendlog 140,ch05,Tsub_al
